articulated_course_year,hs_grad_year,hs_grad_status,gender,ethnicity,high_school,subject,course,hs_course_grade,final_exam_grade,credit_recommended,credit_status,id,took_mcc_course_as_non_hs_student,took_mcc_course_in_same_discipline,earned_degree,earned_coa,earned_cop
2020-2021,2022,Graduate,Female,White,San Dieguito Academy,BUS,CS101,A,,No,Awarded,6604,No,No,No,No,No
2021-2022,2025,Not Yet a Graduate,Male,Hispanic,Canyon Crest Academy,ART,MAT110,A,A,Yes,Awarded,5584,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable
2022-2023,2023,Not Yet a Graduate,Female,White,Oceanside High School,BUS,BUS132,A,A,Yes,Awarded,2905,Not Applicable,No,No,No,No
2021-2022,2024,Graduate,Male,Middle Eastern or North African,La Costa Canyon High School,BUS,NURS151,A,C,Yes,Awarded,1284,No,No,No,No,No
2022-2023,2024,Graduate,Female,Black/African American,La Costa Canyon High School,NURS,BUS132,A,A,Yes,Denied,35,No,No,No,No,No
2022-2023,2023,Graduate,Female,Hispanic,Canyon Crest Academy,NURS,ART251,A,A,Yes,Awarded,9685,No,No,No,No,No
2021-2022,2023,Graduate,Female,White,Carlsbad High School,DESN,ART251,A,B,Yes,Awarded,3043,No,No,No,No,No
2021-2022,2026,Not Yet a Graduate,Female,White,Torrey Pines High School,BUS,CS101,A,P,Yes,Denied,630,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2020-2021,2023,Graduate,Unknown/Unreported,Asian,Canyon Crest Academy,BUS,BUS132,A,,Yes,Awarded,342,No,No,No,Not Applicable,Not Applicable
2020-2021,2021,Graduate,Male,White,Canyon Crest Academy,BUS,BUS132,C,B,Yes,Awarded,10217,No,No,No,No,No
2020-2021,2023,Graduate,Male,White,Sage Creek High School,CS,CS111,A,A,Yes,Awarded,2253,No,No,No,No,No
2021-2022,2022,Graduate,Female,White,Sage Creek High School,MAT,ART251,A,B,Yes,Awarded,8269,No,No,No,No,No
2021-2022,2025,Graduate,Unknown/Unreported,White,Canyon Crest Academy,BUS,CS101,A,B,Yes,Awarded,6237,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable
2022-2023,2024,Graduate,Male,Hispanic,La Costa Canyon High School,CHLD,ACCT158,A,A,Yes,Denied,1457,No,Not Applicable,No,Yes,No
2022-2023,2025,Not Yet a Graduate,Female,White,La Costa Canyon High School,BUS,AUTO102,D,A,Yes,Awarded,11805,Not Applicable,No,No,Not Applicable,Not Applicable
2022-2023,2026,Graduate,Female,Asian,La Costa Canyon High School,BUS,BUS132,A,A,Yes,Denied,10997,Not Applicable,Not Applicable,No,No,No
2022-2023,2025,Not Yet a Graduate,Male,Black/African American,Canyon Crest Academy,MAP,MAT110,A,A,Yes,Awarded,4373,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2020-2021,2023,Graduate,Male,Unknown/Unreported,Canyon Crest Academy,CS,BUS120,A,A,Yes,Denied,13500,No,No,No,No,No
2020-2021,2023,Graduate,Female,Two or More Races,Mission Vista High School,BUS,CS101,A,A,Yes,Awarded,12225,Not Applicable,Not Applicable,No,Yes,No
2022-2023,2024,Not Yet a Graduate,Male,White,Canyon Crest Academy,NURS,DESN100,A,A,Yes,Awarded,2382,No,No,No,No,No
2022-2023,2023,Graduate,Unknown/Unreported,Unknown/Unreported,Torrey Pines High School,ART,FILM101,B,B,Yes,Awarded,1189,No,No,No,No,No
2020-2021,2025,Not Yet a Graduate,Female,Two or More Races,Carlsbad High School,BUS,BUS120,A,A,Yes,Awarded,645,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable
2020-2021,2022,Graduate,Female,Hispanic,Canyon Crest Academy,BUS,BUS120,B,B,Yes,Awarded,12925,No,No,No,No,No
2020-2021,2021,Graduate,Female,Hispanic,Torrey Pines High School,CS,CS101,A,A,Yes,Awarded,779,No,No,No,No,No
2021-2022,2023,Not Yet a Graduate,Male,White,La Costa Canyon High School,BUS,BUS120,A,A,No,Denied,5607,Yes,No,No,No,No
2022-2023,2026,Graduate,Male,Hispanic,La Costa Canyon High School,HORT,ART251,A,B,Yes,Awarded,4646,Not Applicable,No,Not Applicable,Not Applicable,No
2020-2021,2022,Graduate,Male,Unknown/Unreported,Carlsbad High School,AUTO,BUS132,B,A,Yes,Awarded,4442,No,No,No,No,No
2021-2022,2024,Graduate,Male,White,La Costa Canyon High School,BUS,BUS130,C,A,Yes,Awarded,5569,Not Applicable,No,No,No,No
2020-2021,2023,Not Yet a Graduate,Female,White,La Costa Canyon High School,BUS,CS101,B,A,Yes,Awarded,9251,Yes,No,Not Applicable,No,No
2021-2022,2025,Not Yet a Graduate,Male,Asian,Torrey Pines High School,MAT,BUS130,A,A,Yes,Awarded,8119,No,Yes,No,No,No
2020-2021,2023,Graduate,Male,Hispanic,La Costa Canyon High School,BUS,BUS132,D,,Yes,Denied,780,No,No,No,No,No
2022-2023,2024,Graduate,Male,Hispanic,La Costa Canyon High School,BUS,BUS120,A,,Yes,Awarded,8199,No,No,Not Applicable,No,No
2022-2023,2023,Not Yet a Graduate,Male,White,Sage Creek High School,ACCT,BUS132,A,A,Yes,Denied,102,Yes,No,Not Applicable,No,Not Applicable
2020-2021,2022,Graduate,Female,White,Sage Creek High School,DESN,FILM101,A,F,Yes,Denied,10645,Yes,No,No,No,No
2022-2023,2027,Not Yet a Graduate,Male,Hispanic,La Costa Canyon High School,DESN,BUS132,B,A,Yes,Awarded,1720,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable
2020-2021,2023,Graduate,Male,Asian,La Costa Canyon High School,BUS,BUS132,A,B,Yes,Awarded,8285,No,No,No,No,No
2020-2021,2022,Graduate,Female,White,Torrey Pines High School,BUS,MAT110,A,A,Yes,Awarded,12411,No,No,No,No,No
2022-2023,2023,Graduate,Male,Unknown/Unreported,Canyon Crest Academy,BUS,BUS130,A,C,Yes,Awarded,5425,Not Applicable,No,No,No,Not Applicable
2022-2023,2025,Graduate,Unknown/Unreported,Unknown/Unreported,Torrey Pines High School,BUS,BUS130,A,A,No,Awarded,2830,Not Applicable,Not Applicable,No,No,Not Applicable
2020-2021,2021,Graduate,Female,Asian,Canyon Crest Academy,BUS,NURS151,A,A,No,Denied,5041,No,No,Not Applicable,No,Not Applicable
2020-2021,2022,Graduate,Male,Hispanic,El Camino High School,ACCT,BUS132,A,A,Yes,Awarded,6452,No,No,No,No,No
2022-2023,2026,Not Yet a Graduate,Male,White,Canyon Crest Academy,BUS,BUS120,B,A,Yes,Awarded,1408,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2021-2022,2024,Graduate,Male,White,Canyon Crest Academy,CS,CS111,A,D,Yes,Awarded,9150,No,No,No,No,No
2020-2021,2022,Graduate,Female,Hispanic,Carlsbad High School,AUTO,BUS132,B,A,Yes,Denied,7976,Yes,No,No,No,No
2021-2022,2020,Graduate,Male,Asian,Sage Creek High School,BUS,MAT110,B,A,Yes,Awarded,8301,No,No,No,No,No
2022-2023,2026,Not Yet a Graduate,Female,Asian,Torrey Pines High School,CS,CS101,D,A,Yes,Awarded,2435,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
2020-2021,2022,Graduate,Female,Asian,El Camino High School,BUS,BUS132,A,A,Yes,Awarded,1174,No,No,No,No,No
2022-2023,2024,Not Yet a Graduate,Male,White,Carlsbad High School,BUS,BUS120,A,A,No,Denied,12587,No,Not Applicable,Not Applicable,Not Applicable,No
2020-2021,2021,Graduate,Female,White,Canyon Crest Academy,ACCT,ACCT158,A,,Yes,Awarded,5782,No,No,No,No,No
2021-2022,2023,Graduate,Male,White,La Costa Canyon High School,BUS,BUS130,B,A,Yes,Denied,6225,Yes,Not Applicable,No,No,No
2022-2023,2022,Graduate,Female,Asian,Torrey Pines High School,BUS,BUS130,A,A,Yes,Awarded,837,Yes,No,No,No,No
2020-2021,2023,Graduate,Male,Black/African American,Torrey Pines High School,MAP,FILM101,A,B,Yes,Awarded,6627,Yes,No,No,No,No
2021-2022,2025,Graduate,Female,White,Oceanside High School,BUS,BUS130,A,C,Yes,Awarded,12782,Yes,No,Not Applicable,Not Applicable,Not Applicable
2021-2022,2024,Graduate,Female,Hispanic,San Dieguito Academy,BUS,BUS132,B,A,Yes,Awarded,230,No,No,No,No,No
2022-2023,2023,Not Yet a Graduate,Female,White,Canyon Crest Academy,BUS,BUS120,C,A,Yes,Awarded,6859,Yes,No,No,Not Applicable,No
2021-2022,2022,Graduate,Male,Hispanic,La Costa Canyon High School,BUS,BUS132,A,A,Yes,Awarded,3541,No,No,Not Applicable,No,Not Applicable
2022-2023,2025,Not Yet a Graduate,Male,White,La Costa Canyon High School,BUS,AUTO130,A,A,Yes,Awarded,7615,No,Not Applicable,Not Applicable,No,No
2020-2021,2023,Graduate,Female,Asian,La Costa Canyon High School,BUS,BUS120,A,A,Yes,Awarded,3533,No,No,No,No,No
2020-2021,2023,Not Yet a Graduate,Unknown/Unreported,Asian,Sage Creek High School,BUS,NURS151,A,A,No,Awarded,12640,Not Applicable,No,No,No,No
2021-2022,2024,Graduate,Female,Unknown/Unreported,Carlsbad High School,DESN,ART251,A,A,Yes,Awarded,8382,Yes,No,No,No,No
2021-2022,2022,Graduate,Female,Asian,Canyon Crest Academy,FILM,DESN100,,A,Yes,Awarded,741,No,No,No,No,No
2020-2021,2022,Graduate,Male,Two or More Races,El Camino High School,BUS,BUS132,B,A,No,Awarded,12092,No,Not Applicable,No,No,Not Applicable
2022-2023,2026,Graduate,Female,Asian,Canyon Crest Academy,MTEC,MTEC110,,A,Yes,Denied,2807,Not Applicable,No,Not Applicable,Not Applicable,No
2022-2023,2024,Graduate,Unknown/Unreported,White,Sage Creek High School,BUS,BUS120,A,B,Yes,Denied,5023,Yes,No,No,No,No
2021-2022,2024,Graduate,Female,Hispanic,Altus Schools,ART,ART251,A,A,Yes,Awarded,12266,No,No,No,No,No
2022-2023,2025,Not Yet a Graduate,Unknown/Unreported,Asian,El Camino High School,ART,MAT125,B,A,Yes,Awarded,7389,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable
2020-2021,2022,Graduate,Male,Middle Eastern or North African,Sage Creek High School,BUS,AUTO102,A,A,Yes,Awarded,8433,No,No,No,No,No
2021-2022,2022,Graduate,Male,Two or More Races,Torrey Pines High School,HORT,EDUC115,B,B,Yes,Awarded,5294,No,No,No,No,No
2022-2023,2026,Not Yet a Graduate,Male,Hispanic,Torrey Pines High School,HORT,FILM101,A,D,No,Denied,3326,No,No,No,Not Applicable,Not Applicable
2021-2022,2023,Graduate,Female,Hispanic,Canyon Crest Academy,ART,AUTO130,A,A,Yes,Awarded,12699,No,Yes,No,No,No
2022-2023,2022,Graduate,Female,Hispanic,Carlsbad High School,DESN,AUTO102,A,A,Yes,Awarded,11266,No,No,No,No,No
2020-2021,2022,Graduate,Male,Hispanic,El Camino High School,BUS,BUS130,A,A,Yes,Awarded,8248,No,No,No,No,No
2021-2022,2024,Not Yet a Graduate,Female,White,El Camino High School,CS,ACCT158,A,A,Yes,Awarded,11671,No,No,No,Not Applicable,No
2021-2022,2023,Graduate,Unknown/Unreported,White,Canyon Crest Academy,BUS,ART251,A,A,No,Denied,13261,No,No,No,No,No
2020-2021,2023,Graduate,Male,Hispanic,Sage Creek High School,ACCT,BUS120,A,A,Yes,Denied,6986,No,No,Not Applicable,No,No
2022-2023,2023,Graduate,Female,White,Carlsbad High School,NURS,BUS299,A,B,Yes,Awarded,4960,No,No,No,No,No
2020-2021,2026,Graduate,Male,White,Torrey Pines High School,BUS,BUS130,B,A,Yes,Awarded,5900,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable
2021-2022,2022,Graduate,Male,White,Oceanside High School,ACCT,BUS130,A,A,Yes,Awarded,5,No,No,No,No,No
2020-2021,2025,Graduate,Male,Asian,Torrey Pines High School,ART,BUS130,A,A,Yes,Awarded,8166,No,No,No,No,Not Applicable
2022-2023,2026,Graduate,Male,Hispanic,Tri-City Christian School,ART,ART251,C,A,No,Denied,11825,Yes,No,Not Applicable,Not Applicable,No
2022-2023,2022,Graduate,Female,White,Canyon Crest Academy,MAT,MAT125,B,A,Yes,Awarded,11749,No,No,No,No,No
2022-2023,2023,Not Yet a Graduate,Male,Unknown/Unreported,Torrey Pines High School,BUS,BUS120,,A,Yes,Awarded,1043,Yes,No,Not Applicable,No,Not Applicable
2022-2023,2024,Graduate,Female,Two or More Races,Torrey Pines High School,DESN,DESN100,A,D,Yes,Denied,13724,Yes,Not Applicable,Not Applicable,No,Not Applicable
2022-2023,2022,Not Yet a Graduate,Female,White,Canyon Crest Academy,ART,HORT127,D,,Yes,Denied,9295,No,No,No,No,No
2021-2022,2025,Graduate,Female,White,Torrey Pines High School,BUS,BUS120,A,C,Yes,Awarded,293,No,No,No,No,No
2022-2023,2023,Graduate,Female,White,Oceanside High School,NURS,BUS132,B,C,Yes,Awarded,5974,Yes,No,Not Applicable,No,No
2021-2022,2022,Graduate,Female,Unknown/Unreported,Torrey Pines High School,BUS,BUS120,A,A,Yes,Awarded,2934,No,No,No,No,No
2022-2023,2027,Not Yet a Graduate,Male,White,Canyon Crest Academy,ACCT,ACCT158,B,A,Yes,Awarded,6596,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
2020-2021,2023,Graduate,Female,Hispanic,San Dieguito Academy,CS,CS111,A,A,Yes,Awarded,12122,No,No,No,No,No
2020-2021,2023,Graduate,Male,White,La Costa Canyon High School,BUS,NURS151,B,A,Yes,Awarded,12667,Yes,Not Applicable,Not Applicable,No,No
2021-2022,2024,Graduate,Male,Hispanic,Canyon Crest Academy,ACCT,NURS151,D,,Yes,Awarded,7613,No,No,No,No,No
2020-2021,2020,Graduate,Female,Asian,La Costa Canyon High School,BUS,BUS132,D,D,Yes,Denied,7958,No,No,No,No,No
2020-2021,2024,Graduate,Male,Hispanic,El Camino High School,BUS,BUS120,A,A,Yes,Denied,9670,No,No,No,No,No
2022-2023,2024,Not Yet a Graduate,Male,White,Carlsbad High School,BUS,BUS120,A,A,No,Awarded,3410,No,Not Applicable,No,No,Not Applicable
2020-2021,2024,Graduate,Male,Asian,Canyon Crest Academy,DESN,ART251,B,A,No,Denied,7739,No,No,Not Applicable,No,No
2022-2023,2024,Graduate,Male,Hispanic,Canyon Crest Academy,ACCT,BUS120,,A,Yes,Denied,9566,No,No,No,No,No
2021-2022,2024,Graduate,Male,Two or More Races,Carlsbad High School,ART,MAP100,A,A,No,Denied,6223,Yes,No,No,No,No
2021-2022,2022,Graduate,Female,Asian,Oceanside High School,MAP,CSIT101,A,D,Yes,Awarded,1344,No,No,No,No,No
2022-2023,2025,Graduate,Male,Hispanic,La Costa Canyon High School,ART,KINE190,A,B,Yes,Awarded,11437,Not Applicable,No,Not Applicable,Not Applicable,No
2020-2021,2022,Graduate,Male,White,Canyon Crest Academy,CS,CS111,C,A,Yes,Awarded,13496,No,No,No,No,No
2022-2023,2026,Not Yet a Graduate,Male,White,San Dieguito Academy,BUS,BUS120,A,,Yes,Awarded,10342,Yes,No,Not Applicable,Not Applicable,Not Applicable
2020-2021,2023,Graduate,Female,Asian,Carlsbad High School,ART,BUS132,A,A,Yes,Awarded,585,Yes,No,No,No,No
2022-2023,2025,Graduate,Female,Two or More Races,Oceanside High School,NURS,BUS132,A,A,Yes,Awarded,8599,No,No,No,No,No
2022-2023,2024,Graduate,Male,Unknown/Unreported,Canyon Crest Academy,BUS,KINE190,B,A,Yes,Awarded,6384,No,No,No,No,No
2021-2022,2022,Graduate,Unknown/Unreported,White,La Costa Canyon High School,BUS,MAT125,A,,No,Denied,8643,No,No,No,No,No
2022-2023,2023,Not Yet a Graduate,Male,White,Canyon Crest Academy,MAT,BUS132,A,A,Yes,Awarded,6530,No,No,No,No,No
2022-2023,2023,Graduate,Male,Asian,Canyon Crest Academy,BUS,BUS120,A,A,Yes,Awarded,6468,No,No,Not Applicable,No,No
2021-2022,2024,Graduate,Female,Hispanic,Torrey Pines High School,ART,BUS132,A,A,Yes,Awarded,4439,No,No,No,No,No
2022-2023,2021,Graduate,Female,White,Sage Creek High School,BUS,BUS299,A,A,Yes,Awarded,11262,No,No,No,No,No
2021-2022,2024,Graduate,Male,White,Sage Creek High School,BUS,BUS120,A,A,Yes,Awarded,7445,Not Applicable,Not Applicable,Not Applicable,No,No
2022-2023,2023,Graduate,Female,Hispanic,Carlsbad High School,BUS,NURS151,A,A,Yes,Awarded,7730,Yes,No,No,No,No
2022-2023,2022,Graduate,Female,White,Altus Schools,BUS,MTEC110,B,A,Yes,Awarded,7148,No,No,No,No,No
2021-2022,2024,Not Yet a Graduate,Male,White,Carlsbad High School,BUS,BUS120,A,D,Yes,Awarded,4013,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2022-2023,2025,Not Yet a Graduate,Female,Hispanic,Canyon Crest Academy,BUS,ACCT158,A,A,No,Awarded,10134,Not Applicable,Not Applicable,No,No,No
2021-2022,2023,Graduate,Male,White,San Dieguito Academy,BUS,BUS120,B,B,Yes,Awarded,3640,No,No,No,No,No
2022-2023,2026,Not Yet a Graduate,Female,White,Carlsbad High School,ART,BUS130,A,A,Yes,Awarded,5704,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2022-2023,2025,Graduate,Male,Hispanic,Canyon Crest Academy,BUS,BUS120,A,A,Yes,Awarded,7675,No,No,Not Applicable,No,No
2021-2022,2022,Graduate,Male,Two or More Races,Oceanside High School,ACCT,BUS120,A,A,No,Denied,9580,No,No,No,No,No
2022-2023,2025,Graduate,Female,Asian,San Dieguito Academy,ART,MAT110,A,B,Yes,Awarded,5646,Yes,No,No,No,No
2022-2023,2026,Not Yet a Graduate,Female,Asian,Tri-City Christian School,MAT,MAT110,A,B,Yes,Awarded,9242,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2022-2023,2024,Not Yet a Graduate,Male,White,Torrey Pines High School,BUS,BUS120,A,A,Yes,Awarded,6743,Yes,No,No,No,Not Applicable
2022-2023,2024,Graduate,Male,White,La Costa Canyon High School,ART,ART251,A,A,Yes,Denied,1995,No,No,No,No,No
2020-2021,2022,Graduate,Male,Hispanic,Torrey Pines High School,ART,NURS155,A,A,No,Awarded,5484,Not Applicable,No,No,No,No
2020-2021,2024,Not Yet a Graduate,Male,Unknown/Unreported,Carlsbad High School,CS,CS111,A,F,Yes,Awarded,1146,Not Applicable,Not Applicable,No,No,No
2022-2023,2027,Not Yet a Graduate,Female,Middle Eastern or North African,Torrey Pines High School,BUS,BUS120,A,A,Yes,Awarded,1972,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2022-2023,2025,Graduate,Female,White,Canyon Crest Academy,ACCT,NURS151,A,A,Yes,Awarded,9963,Not Applicable,Yes,Not Applicable,No,Not Applicable
2022-2023,2025,Graduate,Male,White,San Dieguito Academy,DESN,CSIT101,A,A,No,Denied,2160,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable
2020-2021,2021,Graduate,Male,Asian,La Costa Canyon High School,ACCT,NURS151,A,C,Yes,Awarded,9497,No,No,No,No,No
2022-2023,2026,Not Yet a Graduate,Unknown/Unreported,White,Torrey Pines High School,NURS,DESN100,A,A,Yes,Awarded,9311,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable
2021-2022,2023,Graduate,Male,White,La Costa Canyon High School,ART,NURS155,A,C,Yes,Awarded,7746,No,Not Applicable,No,No,No
2020-2021,2025,Graduate,Male,White,Oceanside High School,ART, ACCT101,A,B,Yes,Awarded,9414,Yes,No,Not Applicable,No,No
2021-2022,2026,Not Yet a Graduate,Male,Hispanic,La Costa Canyon High School,BUS,BUS132,A,A,Yes,Awarded,1454,Yes,Not Applicable,Not Applicable,No,Not Applicable
2022-2023,2024,Graduate,Male,White,San Dieguito Academy,BUS,NURS151,A,A,Yes,Awarded,3786,No,Not Applicable,Not Applicable,No,Not Applicable
2021-2022,2025,Not Yet a Graduate,Female,Asian,Oceanside High School,BUS,BUS120,A,A,Yes,Awarded,659,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable
2020-2021,2023,Graduate,Male,White,La Costa Canyon High School,ACCT,BUS120,B,B,Yes,Awarded,12419,Not Applicable,Not Applicable,No,Not Applicable,No
2020-2021,2021,Graduate,Female,White,Oceanside High School,ACCT,BUS120,F,F,Yes,Awarded,2606,No,No,No,No,No
2021-2022,2024,Graduate,Male,Hispanic,Sage Creek High School,BUS,ACCT158,A,,Yes,Awarded,13284,Not Applicable,Yes,No,No,No
2020-2021,2023,Graduate,Female,Hispanic,Oceanside High School,BUS,BUS120,C,A,Yes,Awarded,9158,No,No,No,No,No
2020-2021,2022,Graduate,Female,Hispanic,La Costa Canyon High School,BUS,BUS130,B,B,Yes,Awarded,4395,No,Yes,No,No,No
2020-2021,2020,Graduate,Unknown/Unreported,Black/African American,Torrey Pines High School,ACCT,BUS120,C,B,Yes,Denied,6036,No,No,No,No,No
2021-2022,2024,Graduate,Male,White,Sage Creek High School,ACCT,BUS120,B,A,Yes,Awarded,174,Yes,Not Applicable,No,No,No
2021-2022,2024,Graduate,Male,Hispanic,Canyon Crest Academy,DESN,AUTO130,A,C,Yes,Awarded,6843,Not Applicable,No,No,Not Applicable,Not Applicable
2020-2021,2022,Graduate,Female,White,La Costa Canyon High School,BUS,BUS120,A,D,No,Awarded,10000,No,No,No,No,No
2022-2023,2025,Not Yet a Graduate,Male,White,Torrey Pines High School,NURS,MAT110,A,A,Yes,Awarded,1102,Not Applicable,Yes,No,No,No
2020-2021,2023,Graduate,Male,White,San Dieguito Academy,ART,ART251,A,B,No,Denied,2063,No,No,No,No,No
2020-2021,2021,Graduate,Male,Asian,El Camino High School,BUS,BUS120,A,A,Yes,Awarded,1324,No,No,No,No,No
2022-2023,2025,Not Yet a Graduate,Female,Hispanic,Carlsbad High School,BUS,BUS120,A,A,Yes,Awarded,1742,No,No,No,Not Applicable,No
2020-2021,2021,Graduate,Unknown/Unreported,Hispanic,Torrey Pines High School,BUS,MAT110,A,A,No,Awarded,770,Yes,No,No,No,No
2022-2023,2023,Not Yet a Graduate,Male,Asian,Tri-City Christian School,BUS,BUS120,A,B,Yes,Awarded,8685,No,No,No,Not Applicable,No
2021-2022,2026,Not Yet a Graduate,Male,Middle Eastern or North African,Torrey Pines High School,BUS,BUS120,B,B,Yes,Awarded,5640,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable
2022-2023,2025,Not Yet a Graduate,Female,White,Torrey Pines High School,ART,DESN207,A,A,Yes,Awarded,7939,No,No,Not Applicable,No,Not Applicable
2022-2023,2023,Graduate,Male,Asian,Torrey Pines High School,DESN,NURS155,A,I,No,Awarded,8625,No,No,No,No,No
2020-2021,2023,Graduate,Male,White,Carlsbad High School,AUTO,FILM101,A,A,Yes,Awarded,6862,Yes,No,No,No,Not Applicable
2021-2022,2024,Graduate,Male,White,Canyon Crest Academy,BUS,BUS132,A,A,No,Denied,13038,No,No,Not Applicable,No,No
2021-2022,2022,Graduate,Female,Hispanic,Canyon Crest Academy,BUS,CS101,A,A,Yes,Awarded,7948,No,No,No,No,No
2020-2021,2024,Graduate,Male,Hispanic,Torrey Pines High School,BUS,BUS120,A,A,Yes,Awarded,1180,No,No,No,No,No
2020-2021,2021,Graduate,Female,White,San Dieguito Academy,HOSP,ART251,B,A,Yes,Awarded,4183,No,No,Not Applicable,No,No
2021-2022,2022,Not Yet a Graduate,Male,Unknown/Unreported,San Dieguito Academy,BUS,BUS120,,A,No,Denied,175,Not Applicable,No,No,No,Not Applicable
2021-2022,2023,Graduate,Female,Two or More Races,Canyon Crest Academy,ACCT,NURS151,A,A,No,Awarded,5775,Yes,No,No,No,No
2020-2021,2022,Graduate,Unknown/Unreported,White,Oceanside High School,BUS,NURS151,A,A,Yes,Denied,12621,No,No,No,No,No
2022-2023,2022,Graduate,Male,White,Carlsbad High School,BUS,AUTO130,A,D,Yes,Awarded,4724,No,No,No,No,No
2022-2023,2024,Graduate,Male,Two or More Races,Carlsbad High School,NURS,BUS120,A,A,Yes,Awarded,13739,Not Applicable,No,Not Applicable,No,No
2021-2022,2025,Not Yet a Graduate,Female,White,Carlsbad High School,BUS,BUS130,,A,No,Denied,5138,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
2022-2023,2024,Graduate,Male,White,Mission Hills High School,BUS,ART251,A,A,Yes,Awarded,13455,No,No,No,No,No
2020-2021,2024,Graduate,Male,White,Oceanside High School,BUS,BUS130,B,A,Yes,Awarded,6821,No,No,No,No,No
2021-2022,2024,Graduate,Male,White,Canyon Crest Academy,BUS,BUS132,A,A,Yes,Denied,2645,No,No,Not Applicable,Not Applicable,No
2020-2021,2023,Graduate,Female,White,La Costa Canyon High School,BUS,BUS130,A,N,Yes,Awarded,3101,No,No,No,No,No
2022-2023,2025,Not Yet a Graduate,Male,Two or More Races,Torrey Pines High School,ART,BUS132,,A,No,Awarded,7779,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
2020-2021,2024,Not Yet a Graduate,Female,Two or More Races,Canyon Crest Academy,BUS,BUS130,A,A,Yes,Awarded,623,Yes,No,No,No,No
2020-2021,2022,Graduate,Female,White,Oceanside High School,BUS,AUTO102,A,A,Yes,Awarded,2114,No,No,No,No,No
2021-2022,2022,Graduate,Male,Two or More Races,Torrey Pines High School,BUS,BUS120,F,N,No,Awarded,11944,No,No,No,No,Not Applicable
2021-2022,2022,Graduate,Unknown/Unreported,Hispanic,Torrey Pines High School,BUS,CS101,A,A,No,Denied,1117,No,No,No,No,No
2020-2021,2022,Graduate,Male,Asian,El Camino High School,ACCT,BUS130,A,B,Yes,Awarded,8821,No,Not Applicable,No,No,No
2022-2023,2025,Not Yet a Graduate,Male,White,Torrey Pines High School,ACCT,ACCT158,B,A,Yes,Awarded,4088,No,No,No,No,No
2021-2022,2022,Graduate,Female,Hispanic,Torrey Pines High School,BUS,BUS130,A,B,Yes,Awarded,12590,No,No,No,Yes,No
2020-2021,2020,Graduate,Male,Hispanic,Canyon Crest Academy,BUS,BUS132,A,F,Yes,Awarded,2277,Yes,No,No,No,No
2021-2022,2022,Graduate,Female,White,Canyon Crest Academy,NURS,HORT127,A,B,Yes,Awarded,1411,No,No,No,No,No
2020-2021,2021,Graduate,Male,Hispanic,Canyon Crest Academy,AUTO,BUS132,A,A,Yes,Denied,7212,No,No,No,No,No
2021-2022,2023,Graduate,Unknown/Unreported,Hispanic,Torrey Pines High School,BUS,BUS120,A,N,Yes,Awarded,2445,No,No,No,No,No
2022-2023,2022,Graduate,Male,White,Oceanside High School,BUS,NURS151,A,A,No,Denied,450,No,No,No,No,No
2022-2023,2022,Graduate,Male,White,Oceanside High School,NURS,BUS299,A,A,Yes,Awarded,11631,Yes,No,No,No,No
2021-2022,2024,Graduate,Unknown/Unreported,White,San Dieguito Academy,ACCT,BUS120,A,A,Yes,Awarded,9383,Not Applicable,No,Yes,No,No
2020-2021,2025,Graduate,Male,Asian,El Camino High School,AUTO,BUS132,A,A,Yes,Awarded,811,No,No,No,No,No
2021-2022,2022,Graduate,Male,Asian,Oceanside High School,ART,ART251,B,F,Yes,Denied,11512,No,No,No,No,No
2021-2022,2023,Graduate,Male,Two or More Races,Torrey Pines High School,AUTO,ART251,C,C,Yes,Denied,8864,No,No,No,No,No
2020-2021,2020,Graduate,Female,Hispanic,La Costa Canyon High School,BUS,AUTO130,A,B,Yes,Awarded,1644,No,No,No,No,No
2022-2023,2024,Graduate,Male,Hispanic,Torrey Pines High School,NURS,BUS132,A,A,No,Denied,3564,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2021-2022,2023,Graduate,Male,Asian,La Costa Canyon High School,DESN,ART251,A,B,Yes,Awarded,7704,No,Not Applicable,No,Yes,No
